Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,65.0,33.0,7,9,-10
Armenia,45.0,40.0,2,7,-5
Australia,113.536,-25.9247,4,9,-5
Australia,114.75,-28.8667,2,20,-2
Australia,115.833,-31.9333,5,20,-3
Australia,121.202,-31.0293,4,8,-8
Australia,138.6,-34.9333,5,9,-10
Australia,149.217,-35.2833,5,54,-6
Australia,151.217,-33.8833,6,10,-10
Australia,151.318,-33.6318,5,28,-10
Austria,13.0333,47.8,4,4,-10
Bahrain,50.55,26.0,6,6,-4
Belarus,27.5667,53.9,4,14,-5
Belgium,4.33333,50.8333,2,3,-2
Brazil,-43.2333,-22.9,5,5,-4
Brazil,-49.0,-0.166667,4,9,-5
Brazil,-55.0,-10.0,4,33,-5
Bulgaria,25.0,43.0,4,9,-2
Bulgaria,25.9,43.4667,4,10,-2
Bulgaria,28.0,44.0,5,4,-6
Cambodia,103.013,11.3336,3,286,-7
Cambodia,103.25,12.0,6,7,-10
Cambodia,104.917,11.55,4,360,-8
Cameroon,11.5167,3.86667,6,1,-4
Cameroon,12.0,6.0,2,3,-10
Cameroon,8.8724,4.9479,6,8,-4
Canada,-114.083,51.0833,8,3,-2
Canada,-121.95,49.1667,3,20,-2
Canada,-126.617,53.2667,5,4,-2
Canada,-127.167,54.7667,7,6,-2
Canada,-63.6,44.65,8,4,-2
Canada,-72.0,47.5,1,12,-2
Canada,-80.0833,43.9167,4,18,-2
Canada,-82.4333,52.9167,2,6,-2
Canada,-85.0,45.0,5,9,-2
Chile,-72.0,-52.4167,3,43,-4
China,116.388,39.9289,4,5,-2
ChristmasIsland,105.667,-10.5,4,4,-4
Colombia,-72.0,4.0,3,8,-10
Congo,15.0,-1.0,4,1,-10
CostaRica,-85.8193,10.4001,6,9,-10
CzechRepublic,15.5,49.75,5,4,-2
Denmark,10.0,56.0,5,42,-4
Ecuador,-77.5,-2.0,4,9,-4
Egypt,30.0,27.0,4,4,-4
Gambia,-16.5775,13.4531,6,10,-5
Germany,14.55,52.35,5,5,-5
Germany,9.0,51.0,3,39,-4
India,77.0,20.0,6,51,-2
India,78.4326,24.8366,5,4,-2
Indonesia,106.829,-6.17444,3,15,-3
Indonesia,114.0,1.0,3,50,-10
Indonesia,99.0,2.0,5,18,-10
Ireland,-9.51667,52.05,2,4,-5
Israel,35.2333,31.7667,4,52,-3
Italy,12.8333,42.8333,4,72,-10
Kenya,36.8167,-1.28333,6,214,-2
Laos,105.0,18.0,4,26,-4
Malawi,33.7833,-13.9833,4,5,-2
Malaysia,103.462,3.5321,2,10,-6
Mexico,-102.0,23.0,7,44,-4
Mexico,-114.95,31.9,4,104,-4
Micronesia,158.25,6.9167,4,7,-5
NewZealand,174.783,-41.3,5,5,-10
Niger,8.0,16.0,3,3,-10
Nigeria,5.9431,5.45054,0,6,-5
Oceans,-135.0,70.0,4,20,-5
Oceans,3.0,55.3333,5,6,-10
Oceans,50.0,42.0,1,10,-4
Oman,56.7468,24.3643,3,4,-10
Peru,-74.95,-10.2,5,9,-4
Peru,-77.05,-12.05,4,125,-4
Philippines,120.982,14.6042,2,32,-7
Philippines,122.0,13.0,7,9,-4
Philippines,124.376,6.60458,3,4,-10
SouthAfrica,30.1962,-28.4662,1,12,-2
SouthAfrica,31.5,-23.8333,1,26,-2
SouthKorea,127.5,37.0,5,10,-2
Spain,-3.68333,40.4,3,10,-2
Spain,-4.0,40.0,10,9,-10
SriLanka,80.5,8.33333,3,10,-4
SriLanka,81.3487,6.8714,3,7,-2
Tanzania,36.45,-3.3,3,10,-4
TrinidadandTobago,-60.6667,11.25,1,30,-7
Tunisia,10.1797,36.8028,0,3,-2
Ukraine,23.6667,49.65,4,10,-7
UnitedKingdom,-0.15,50.8333,9,1,-10
UnitedKingdom,-2.96778,51.3458,6,2,-5
UnitedStates,-103.231,44.0805,3,37,-2
UnitedStates,-105.938,35.687,1,29,-4
UnitedStates,-106.215,35.8956,7,4,-2
UnitedStates,-106.356,39.6061,1,4,-9
UnitedStates,-106.414,39.5908,1,3,-9
UnitedStates,-106.987,43.0322,5,4,-2
UnitedStates,-107.209,42.7475,1,42,-2
UnitedStates,-107.24,39.1808,1,12,-4
UnitedStates,-107.667,37.7506,6,9,-10
UnitedStates,-108.551,39.0639,6,22,-8
UnitedStates,-112.036,46.5927,4,9,-5
UnitedStates,-114.748,40.036,6,10,-10
UnitedStates,-117.122,38.4199,4,219,-6
UnitedStates,-117.33,33.2106,5,20,-2
UnitedStates,-118.601,34.3333,2,20,-5
UnitedStates,-118.81,34.005,4,1,-10
UnitedStates,-119.746,36.17,4,249,-5
