Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Argentina,-64.1833,-31.4,0,389,-6
Armenia,45.6723,39.8417,2,2,-5
Australia,144.967,-37.8167,2,1,-10
Australia,149.217,-35.2833,2,6,-6
Australia,150.164,-30.2732,2,10,-5
Australia,151.16,-23.6222,2,2,-9
Australia,151.217,-33.8833,1,151,-7
Australia,152.144,-32.7204,2,50,-2
Belgium,4.33333,50.8333,4,17,-2
Botswana,22.5,-20.5,2,20,-4
Brazil,-39.3333,-12.1667,1,56,-4
Brazil,-43.2333,-22.9,1,10,-2
Brazil,-55.0,-10.0,1,89,-8
Bulgaria,25.0,43.0,0,20,-6
Bulgaria,25.9,43.4667,1,21,-10
Cambodia,103.013,11.3336,1,5,-10
Cambodia,104.917,11.55,1,30,-7
Cambodia,105.95,13.5333,1,7,-4
Cameroon,8.8724,4.9479,1,5,-4
Canada,-111.033,56.6667,2,14,-5
Canada,-119.483,49.9,2,4,-2
Canada,-121.433,49.5667,4,1,-10
Canada,-72.0,47.5,3,17,-3
Canada,-79.95,43.0667,1,15,-6
Canada,-82.4333,52.9167,1,9,-6
Canada,-85.0,45.0,2,2,-4
China,116.388,39.9289,1,22,-2
China,119.777,32.8439,2,10,-4
Cyprus,33.0,35.0,3,6,-4
CzechRepublic,15.5,49.75,2,6,-4
Ecuador,-77.5,-2.0,2,8,-10
ElSalvador,-88.9167,13.8333,3,6,-10
FrenchGuiana,-53.0,4.0,0,6,-4
Gambia,-16.5775,13.4531,2,12,-4
Germany,6.41667,50.4333,2,1,-4
Germany,6.96083,49.4047,6,2,-2
Germany,9.0,51.0,3,368,-5
Greece,23.75,37.9667,1,8,-2
Hungary,20.0,47.0,1,2,-7
Iceland,-21.95,64.15,1,96,-4
India,76.35,21.4333,6,6,-10
India,76.6333,11.6667,1,10,-4
India,77.0,20.0,0,16,-7
India,78.5,23.5,3,7,-4
India,79.25,30.25,1,18,-5
India,88.3697,22.5697,1,42,-4
Indonesia,106.829,-6.17444,1,34,-5
Iran,50.6582,36.903,2,8,-4
Italy,12.8333,42.8333,4,5,-6
Japan,132.683,33.8833,0,280,-10
Kazakhstan,71.4278,51.1811,3,4,-5
Kenya,36.0667,-0.283333,1,10,-4
Kenya,36.8167,-1.28333,1,20,-6
Kenya,37.0728,0.016667,2,1,-10
Malawi,34.0,-13.5,3,9,-7
Malta,14.5147,35.8997,3,10,-6
Netherlands,4.91667,52.35,2,8,-5
Nigeria,5.08333,7.16667,2,2,-10
Norway,11.55,63.8,1,14,-4
Oceans,3.0,55.3333,3,3,-2
Peru,-77.05,-12.05,2,24,-10
Philippines,120.929,14.459,2,10,-4
Philippines,121.054,14.6069,4,6,-2
Philippines,122.0,13.0,2,4,-5
Philippines,122.564,10.6969,4,4,-2
Philippines,124.167,9.83333,1,28,-7
Romania,23.1333,46.3,3,5,-10
Russia,40.3966,56.1365,0,10,-6
Russia,47.0,43.0,0,2,-2
SaudiArabia,37.8602,31.1943,0,8,-10
SouthAfrica,31.5,-23.8333,0,116,-6
Spain,-17.8295,28.4989,1,15,-2
Spain,-4.0,40.0,1,37,-5
