Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,65.0,33.0,2,20,-6
Argentina,-68.5364,-31.5375,4,13,-2
Australia,114.125,-21.9402,3,9,-10
Australia,115.833,-31.9333,5,4,-2
Australia,144.967,-37.8167,15,9,-10
Australia,145.067,-36.4167,5,5,-6
Australia,145.399,-36.3805,6,14,-10
Australia,149.217,-35.2833,4,14,-2
Australia,151.217,-33.8833,4,31,-7
Belgium,6.04076,50.6968,6,1,-4
Bermuda,-64.7839,32.2942,3,2,-5
Brazil,-55.0,-10.0,5,29,-6
Cambodia,103.25,12.0,5,589,-4
Cameroon,12.0,6.0,4,6,-4
Canada,-114.083,51.0833,5,1,-5
Canada,-72.0,47.5,5,2,-9
China,105.48,35.1221,5,5,-5
China,106.717,26.5833,1,3,-2
China,116.388,39.9289,4,127,-5
China,116.391,39.9072,4,8,-5
China,124.761,42.7666,6,9,-5
China,86.5683,42.0586,4,27,-5
China,97.2333,31.1667,5,54,-5
China,98.2833,30.8667,4,30,-5
CzechRepublic,13.278,50.4007,5,11,-3
CzechRepublic,14.3483,49.193,10,1,-9
Denmark,10.0,56.0,7,13,-4
Ecuador,-77.5,-2.0,5,5,-2
Egypt,30.0,27.0,5,6,-2
France,0.226625,49.1477,4,8,-4
Germany,13.9333,51.05,3,13,-5
Germany,9.0,51.0,5,28,-2
Greenland,-53.5,69.75,1,4,-6
Hungary,17.438,47.1032,1,27,-4
Hungary,17.5589,47.102,3,28,-10
Hungary,19.0833,47.5,6,7,-2
India,71.25,26.1833,5,1,-10
India,72.8167,19.1,4,9,-5
India,77.0,20.0,6,50,-5
Indonesia,100.693,-0.098651,2,2,-4
Indonesia,118.694,-8.59212,5,5,-2
Israel,35.2333,31.7667,4,9,-5
Italy,12.8333,42.8333,5,45,-10
Japan,136.917,35.1667,6,9,-2
Laos,101.75,19.25,4,36,-10
Laos,105.0,18.0,3,1,-10
Madagascar,47.2216,-15.0276,9,4,-6
Malaysia,115.95,5.63333,3,2,-4
Malta,14.4072,35.8519,3,17,-10
Malta,14.5028,35.9039,5,4,-10
Mexico,-102.0,23.0,5,20,-2
Mexico,-89.7333,21.1333,5,4,-5
Micronesia,158.25,6.9167,4,2,-4
Myanmar,95.9833,21.8667,2,16,-6
Nepal,84.0,28.0,3,4,-7
NorthKorea,125.755,39.0194,3,9,-4
Norway,4.89167,60.5356,5,3,-4
Oceans,35.0,43.0,4,13,-4
Pakistan,70.0,30.0,3,1,-10
Peru,-70.2411,-17.9947,6,9,-2
Philippines,120.378,15.8334,5,9,-2
Philippines,120.982,14.6042,10,1,-7
Philippines,122.0,13.0,3,1,-10
