Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Algeria,5.83333,23.1667,1,10,-4
Argentina,-64.1833,-31.4,-5,5,-4
Armenia,45.0,40.0,-2,10,-2
Australia,115.833,-31.9333,-3,143,-3
Australia,121.991,-33.8323,1,10,-10
Australia,138.6,-34.9333,0,18,-7
Australia,139.479,-35.9569,2,7,-7
Australia,142.467,-10.7167,0,10,-10
Australia,142.488,-38.3818,0,506,-2
Australia,144.967,-37.8167,0,8,-4
Australia,149.217,-35.2833,-1,163,-2
Australia,150.5,-31.5,-1,20,-6
Australia,151.15,-33.8833,0,7,-2
Australia,151.16,-33.8485,0,30,-5
Australia,151.217,-33.8833,-2,495,-4
Australia,151.318,-33.6318,3,10,-4
Australia,152.961,-26.8588,-1,5,-10
Australia,153.217,-27.75,-1,10,-2
Bhutan,90.5,27.5,3,20,-2
Brazil,-38.15,-5.71667,-4,41,-10
Brazil,-45.8833,-23.1833,3,10,-5
Brazil,-55.0,-10.0,-1,90,-6
Brazil,-60.0253,-3.11333,-6,6,-10
Cambodia,103.013,11.3336,-6,208,-6
Cambodia,104.181,10.6104,-4,10,-2
Cambodia,104.917,11.55,0,19,-8
Cambodia,105.0,13.75,-3,10,-10
Cameroon,10.0,6.01667,-4,10,-5
Cameroon,12.0,6.0,-5,20,-2
Canada,-110.683,50.0333,-2,2,-2
Canada,-114.083,51.0833,-2,116,-3
Canada,-119.483,49.9,-2,1,-2
Canada,-121.917,53.9167,0,16,-10
Canada,-139.417,64.0667,0,8,-10
Canada,-72.0,47.5,-1,58,-6
Canada,-85.0,45.0,-2,10,-2
China,100.033,23.9,-1,10,-5
China,105.48,35.1221,0,2,-10
China,116.388,39.9289,-1,103,-3
China,84.0833,33.3667,0,7,-10
China,97.2333,31.1667,-3,16,-5
Colombia,-72.0,4.0,-6,4,-10
Congo,15.2847,-4.25917,-2,16,-10
CostaRica,-83.3053,8.53627,3,6,-10
CzechRepublic,14.3483,49.193,-2,2,-9
DemocraticRepublicoftheCongo,15.315,-4.32972,-6,2,-2
Denmark,10.0,56.0,-4,18,-5
ElSalvador,-89.0,14.05,-4,5,-2
France,1.24534,46.6273,-3,24,-10
Germany,13.3667,52.5167,-4,5,-10
Germany,6.41667,50.4333,-1,1,-4
Germany,9.0,51.0,0,24,-4
Greece,23.7333,37.9833,-3,39,-7
HongKong,114.25,22.1667,1,5,-2
India,70.4667,21.5167,-5,15,-10
India,70.9,26.4667,-3,2,-4
India,71.25,26.1833,-3,5,-4
India,72.6833,23.2167,-5,10,-2
India,72.9,19.0833,1,10,-4
India,73.1,18.9833,-2,15,-7
India,73.8667,18.5333,0,1,-2
India,73.9167,15.2667,-6,6,-2
India,74.75,13.35,-4,8,-10
India,75.0,17.4833,0,6,-2
India,75.7833,12.9667,-2,5,-2
India,76.0,13.5,-3,8,-4
India,76.2167,10.5167,-2,10,-2
India,76.6333,11.6667,-1,20,-10
India,77.0,20.0,0,70,-7
India,77.7333,11.35,-4,5,-2
India,79.0333,23.5,0,10,-4
India,79.25,30.25,-5,10,-5
India,79.5,18.0,-1,11,-3
India,80.75,27.25,4,20,-10
India,81.75,21.5,-4,3,-4
India,88.3697,22.5697,2,6,-2
Indonesia,110.5,0.0,-3,10,-10
Iran,56.5,27.75,-5,6,-10
Ireland,-7.95,53.4333,-4,4,-10
Ireland,-9.91667,53.4,-4,6,-10
Israel,34.7667,32.0667,-1,6,-2
Israel,35.2333,31.7667,-5,15,-4
Israel,35.5928,32.8072,1,14,-5
Italy,12.8333,42.8333,0,10,-2
Japan,141.3,38.4167,-1,2,-5
Kenya,35.2699,0.520356,-7,10,-9
Kenya,36.8167,-1.28333,-4,142,-7
Kenya,39.6981,-4.05291,1,1,-2
Liberia,-9.5,6.5,1,6,-4
Malta,14.5147,35.8997,0,120,-3
Mexico,-102.0,23.0,-3,80,-7
Morocco,-5.0,32.0,-5,5,-10
Namibia,22.5667,-17.8,-6,10,-2
Nepal,84.0,28.0,-5,1,-5
Netherlands,4.91667,52.35,-1,2,-2
NewZealand,-176.217,-44.2333,-5,10,-10
Niger,8.0,16.0,-5,5,-9
Nigeria,12.3167,9.38333,-4,27,-2
Nigeria,3.39583,6.45306,0,3,-4
Nigeria,6.83333,4.75,3,6,-2
Nigeria,8.829,5.6088,0,2,-6
Oceans,35.0,43.0,-3,44,-4
Oman,57.5,23.1667,1,370,-10
Pakistan,70.0,30.0,-1,34,-4
Peru,-75.4172,-11.7899,-4,10,-7
Peru,-77.05,-12.05,-3,24,-5
Philippines,120.483,13.4333,0,5,-4
Philippines,120.982,14.6042,-3,139,-4
Philippines,122.361,11.0569,2,8,-10
Russia,41.4433,52.7317,-6,4,-5
SaudiArabia,45.0,25.0,-1,1,-6
Somalia,45.3667,2.06667,-6,2,-5
SouthAfrica,27.9667,-26.05,-4,43,-6
SouthAfrica,31.5,-23.8333,-3,22,-7
SouthAfrica,31.534,-27.8818,-7,5,-10
SouthAfrica,31.5857,-24.9895,-5,222,-5
SouthKorea,127.5,37.0,-2,6,-4
Spain,-2.56335,39.7775,-2,5,-2
Spain,-3.68333,40.4,-5,5,-6
Spain,-4.0,40.0,0,171,-6
SriLanka,79.8855,6.7857,0,2,-5
SriLanka,80.6383,7.2933,-3,7,-4
Switzerland,6.54199,46.4443,1,6,-10
Syria,38.0,35.0,-2,20,-4
Tanzania,35.0,-6.0,1,24,-10
Tanzania,36.0,-2.41667,0,10,-4
Thailand,101.167,13.9167,-2,10,-6
Thailand,98.3833,7.83333,-1,151,-3
TrinidadandTobago,-61.2799,10.0905,0,15,-6
Turkey,35.6592,38.7918,-13,2,-2
Tuvalu,178.0,-8.0,-6,60,-2
Ukraine,34.1108,44.9572,-2,12,-5
UnitedKingdom,-2.45,50.5667,-6,3,-2
UnitedKingdom,-2.56667,50.6333,-6,2,-2
UnitedKingdom,-3.16667,54.5,-1,3,-10
UnitedStates,-101.032,32.7298,-5,2,-5
UnitedStates,-105.232,39.8911,-4,8,-4
UnitedStates,-105.339,45.2908,-6,12,-2
UnitedStates,-105.544,36.4386,-2,5,-9
UnitedStates,-105.851,37.725,-2,1,-2
UnitedStates,-106.556,32.3262,-2,5,-4
UnitedStates,-107.209,42.7475,-2,68,-3
UnitedStates,-108.987,40.5205,-1,20,-10
UnitedStates,-109.343,37.8714,-1,16,-2
UnitedStates,-110.453,33.3453,3,2,-5
