Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,65.0,33.0,1,7,-3
Argentina,-57.9545,-34.9215,1,1,-5
Australia,115.107,-33.6185,2,10,-2
Australia,115.833,-31.9333,1,8,-3
Australia,149.217,-35.2833,3,32,-3
Australia,150.418,-33.6152,2,20,-10
Australia,151.217,-33.8833,2,44,-5
Australia,151.318,-33.6318,2,518,-5
Australia,151.35,-33.5167,2,10,-9
Australia,153.1,-26.6601,2,4,-2
Australia,153.167,-25.2503,0,10,-10
Bahamas,-75.8842,23.5694,1,10,-10
Belgium,4.33333,50.8333,2,35,-4
Brazil,-36.4833,-7.31667,1,20,-10
Brazil,-39.3333,-12.1667,4,2,-10
Brazil,-41.6167,-5.5,3,2,-2
Brazil,-43.2333,-22.9,1,18,-7
Brazil,-46.7463,-23.4058,2,5,-10
Brazil,-55.0,-10.0,2,106,-6
Bulgaria,27.0,42.0667,2,24,-4
Cambodia,103.013,11.3336,0,304,-8
Cambodia,104.917,11.55,0,26,-8
Canada,-111.383,56.7333,1,46,-3
Canada,-113.95,49.4833,0,10,-4
Canada,-114.083,51.0833,1,20,-10
Canada,-123.767,49.4667,2,16,-5
Canada,-72.0,47.5,2,47,-3
Canada,-77.45,46.0167,2,4,-4
Canada,-94.05,61.1167,1,2,-10
Canada,-99.45,50.2333,2,10,-4
CentralAfricanRepublic,21.0,7.0,1,10,-4
Chad,19.0,15.0,1,19,-10
China,109.484,18.9394,0,8,-4
China,116.388,39.9289,1,44,-6
China,120.169,30.2553,2,10,-10
Colombia,-72.0,4.0,1,5,-4
Congo,15.0,-1.0,0,10,-2
CostaRica,-83.5931,9.23396,3,12,-6
CzechRepublic,14.3483,49.193,5,2,-9
DemocraticRepublicoftheCongo,15.315,-4.32972,0,2,-2
DemocraticRepublicoftheCongo,23.25,-6.26667,2,10,-10
Denmark,10.0,56.0,5,5,-10
Ecuador,-77.5,-2.0,2,8,-2
Egypt,30.0,27.0,1,20,-2
Gambia,-16.5775,13.4531,5,6,-10
Germany,9.0,51.0,1,29,-7
Honduras,-87.2167,14.1,2,5,-10
Iceland,-21.95,64.15,2,60,-5
India,76.6333,11.6667,1,10,-10
India,77.0,20.0,0,13,-3
India,78.5,23.5,2,2,-4
India,80.75,27.25,1,170,-5
India,88.3697,22.5697,1,10,-2
Indonesia,106.829,-6.17444,1,5,-6
Ireland,-9.71667,52.2667,2,8,-10
Israel,35.2333,31.7667,2,4,-5
Italy,12.8333,42.8333,1,10,-4
Kenya,36.8167,-1.28333,2,48,-5
Malaysia,103.462,3.5321,1,4,-6
Malaysia,116.072,5.9749,2,14,-4
Malta,14.3458,35.97,1,4,-4
MarshallIslands,168.0,9.0,1,3,-6
Mexico,-102.0,23.0,2,15,-8
Mexico,-104.393,19.1167,1,6,-4
Mexico,-105.917,22.75,3,2,-4
Mexico,-91.8542,17.475,2,20,-2
Morocco,-5.0,32.0,1,10,-4
Netherlands,4.91667,52.35,1,20,-6
NewZealand,172.867,-40.5167,1,20,-10
NewZealand,174.783,-41.3,4,30,-8
Niger,8.0,16.0,0,15,-4
Pakistan,70.0,30.0,0,5,-2
Pakistan,74.3436,31.5497,4,35,-2
Peru,-72.9453,-11.7175,2,10,-4
Peru,-77.05,-12.05,2,47,-8
Philippines,120.982,14.6042,2,20,-6
SaudiArabia,45.0,25.0,4,5,-2
Singapore,103.858,1.28389,1,80,-8
SouthAfrica,31.5,-23.8333,0,15,-3
SouthSudan,31.6012,4.84597,0,5,-4
Spain,-15.5,28.0,1,88,-4
