Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Australia,115.833,-31.9333,4,158,-5
Australia,121.202,-31.0293,7,18,-10
Australia,139.158,-35.4343,5,2,-10
Australia,143.0,-25.0,6,27,-2
Australia,143.338,-37.9527,5,9,-10
Australia,149.217,-35.2833,4,58,-4
Australia,150.506,-23.3803,4,10,-10
Australia,151.217,-33.8833,3,22,-5
Australia,151.954,-27.5606,5,23,-7
Australia,153.09,-26.3943,4,14,-10
Bahamas,-77.9167,26.6167,11,9,-2
Belgium,4.33333,50.8333,6,53,-4
Brazil,-43.2333,-22.9,6,18,-7
Brazil,-48.4833,-1.45,3,5,-10
Brazil,-50.05,-25.35,6,9,-5
Brazil,-55.0,-10.0,6,7,-4
Brazil,-63.4106,-5.68333,4,10,-6
Cambodia,104.917,11.55,4,9,-5
Cameroon,12.0,6.0,4,52,-2
Canada,-117.617,49.0167,4,4,-7
Canada,-123.083,49.0167,8,4,-2
Canada,-72.0,47.5,5,4,-6
Chile,-71.4122,-32.7275,3,5,-4
Chile,-72.0,-52.4167,5,16,-4
China,104.299,28.6208,5,12,-4
China,110.536,19.5378,5,41,-2
China,116.388,39.9289,5,487,-2
Cyprus,33.9833,35.0375,4,2,-9
Denmark,10.0,56.0,3,7,-2
Egypt,29.9192,31.1981,5,2,-10
Egypt,30.0,27.0,5,6,-5
ElSalvador,-88.9167,13.8333,3,2,-2
Ethiopia,37.5167,12.8667,10,9,-2
Finland,25.8333,61.0667,3,9,-2
France,4.82823,46.3141,2,4,-10
Germany,9.0,51.0,5,14,-4
Greece,23.7333,37.9833,11,4,-2
Honduras,-88.6333,14.7,2,5,-5
Hungary,21.6333,47.5333,3,7,-5
India,72.7,24.6,3,9,-10
India,73.8667,18.5333,3,3,-10
Indonesia,105.911,-6.3205,2,8,-5
Iran,51.0103,35.8355,4,7,-10
Israel,34.7667,32.0667,4,9,-2
Israel,35.2333,31.7667,4,25,-5
Italy,12.8333,42.8333,5,9,-2
Italy,7.66667,45.05,5,5,-10
Kenya,36.8167,-1.28333,4,27,-10
Kenya,36.9476,-0.420132,9,2,-2
Laos,105.0,18.0,3,35,-4
Mexico,-102.0,23.0,6,2,-2
Netherlands,4.75561,52.6358,5,24,-4
Netherlands,4.91667,52.35,5,12,-7
NewZealand,173.683,-42.4167,8,6,-2
Nigeria,5.9431,5.45054,8,5,-5
Oceans,3.0,55.3333,2,48,-4
Pakistan,70.0,30.0,4,23,-5
Pakistan,74.3436,31.5497,3,9,-5
Philippines,120.982,14.6042,5,16,-4
Philippines,122.0,13.0,6,7,-4
Philippines,122.893,11.0336,3,24,-8
Philippines,122.907,14.222,3,4,-2
Philippines,123.367,10.8487,10,7,-10
SaintHelena,-5.71667,-15.9333,2,4,-10
SaudiArabia,45.0,25.0,6,9,-4
SouthAfrica,31.5,-23.8333,3,32,-4
SouthAfrica,32.0749,-27.7677,3,48,-2
Spain,-1.74901,37.2879,2,3,-10
Spain,-4.0,40.0,5,11,-7
Spain,-5.81969,43.6214,5,18,-10
SriLanka,80.0137,9.6567,4,12,-10
SriLanka,80.4991,7.1941,4,5,-4
SriLanka,80.8333,6.45,3,7,-5
Sweden,17.9,64.7833,3,9,-5
Switzerland,8.55,47.3667,3,1,-5
Tanzania,33.0,-8.45,4,9,-10
Thailand,100.274,13.5475,5,5,-10
Turkey,32.8644,39.9272,4,9,-2
Turkey,32.8761,39.9115,4,10,-2
Turkey,37.3625,40.3644,8,9,-9
Turkey,37.8423,41.0027,3,9,-6
UnitedArabEmirates,54.3667,24.4667,2,22,-4
UnitedKingdom,-1.28333,51.3833,5,9,-6
UnitedKingdom,-1.93333,50.65,5,9,-10
UnitedKingdom,-5.27222,50.0997,2,9,-4
UnitedKingdom,0.85,51.1,3,9,-2
UnitedStates,-105.591,41.3114,3,9,-4
UnitedStates,-107.209,42.7475,3,109,-6
UnitedStates,-107.701,38.0814,4,5,-4
UnitedStates,-109.585,33.9106,4,4,-5
UnitedStates,-109.708,32.834,4,10,-2
UnitedStates,-111.658,35.19,4,5,-5
UnitedStates,-117.122,38.4199,5,36,-10
UnitedStates,-117.497,47.8741,4,10,-10
UnitedStates,-118.106,34.0961,3,3,-2
UnitedStates,-118.911,39.4946,6,9,-10
UnitedStates,-119.712,36.9877,4,9,-4
UnitedStates,-119.746,36.17,5,118,-4
UnitedStates,-119.814,39.5296,6,9,-10
UnitedStates,-122.127,44.5672,4,4,-4
UnitedStates,-122.271,37.8044,4,14,-5
UnitedStates,-157.531,21.1098,4,47,-4
UnitedStates,-163.008,69.7439,3,4,-5
UnitedStates,-68.9564,46.0912,5,3,-2
UnitedStates,-69.3977,44.6074,4,17,-6
UnitedStates,-71.5314,42.2373,9,14,-10
UnitedStates,-72.634,43.8334,1,5,-5
UnitedStates,-72.7093,44.0407,4,148,-4
UnitedStates,-73.401,41.0632,8,8,-5
UnitedStates,-74.9384,42.1497,6,218,-3
UnitedStates,-75.0821,43.2587,6,3,-2
UnitedStates,-75.4685,35.5668,3,18,-2
UnitedStates,-76.383,38.5168,6,9,-10
UnitedStates,-76.6247,39.1626,5,4,-2
UnitedStates,-76.7902,39.0724,4,5,-2
UnitedStates,-77.0003,38.889,4,1,-4
UnitedStates,-77.0262,38.8964,3,4,-2
UnitedStates,-77.0726,38.9073,7,11,-3
UnitedStates,-77.264,40.5773,4,90,-8
UnitedStates,-77.4469,41.137,6,9,-2
UnitedStates,-78.245,34.7749,4,4,-5
UnitedStates,-79.1342,33.9371,7,5,-5
UnitedStates,-81.717,27.8333,5,130,-4
UnitedStates,-82.5612,27.5359,5,9,-10
UnitedStates,-83.0458,42.3314,2,2,-6
UnitedStates,-84.3833,42.6,6,36,-4
UnitedStates,-84.6514,37.669,5,145,-6
UnitedStates,-86.7489,35.7449,6,23,-2
UnitedStates,-86.9225,40.4281,3,39,-4
UnitedStates,-87.0494,37.8831,4,2,-5
UnitedStates,-87.6501,41.85,5,49,-5
UnitedStates,-89.0022,40.3363,4,28,-4
UnitedStates,-89.6385,44.2563,5,14,-6
UnitedStates,-92.302,38.4623,2,1,-10
UnitedStates,-92.4071,31.5257,5,2,-2
UnitedStates,-92.9002,45.5005,6,5,-4
UnitedStates,-93.9196,45.7326,6,44,-4
UnitedStates,-94.4413,33.3151,7,5,-10
UnitedStates,-95.3633,29.7633,4,34,-6
UnitedStates,-95.9378,41.2586,4,9,-5
UnitedStates,-96.9247,35.5376,4,46,-4
UnitedStates,-99.7331,32.4487,4,10,-3
Vietnam,105.85,21.0333,4,34,-4
WestBank,35.25,31.6667,4,2,-2
Yemen,48.0,15.0,9,2,-4
null,180.0,0.0,3,14,-6
