Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,63.75,35.0,-6,13,7
Afghanistan,65.0,33.0,-3,6835,7
Afghanistan,65.0459,31.6061,-2,12,7
Afghanistan,66.0074,32.0805,-1,1,7
Afghanistan,66.6362,31.1327,-4,2645,7
Afghanistan,67.8273,34.8216,-6,11,7
Afghanistan,68.304,34.7236,-5,1,7
Afghanistan,68.75,32.4167,-3,16,7
Afghanistan,68.857,36.729,-4,362,7
Afghanistan,69.0227,33.9953,-12,10,7
Afghanistan,69.265,34.9669,1,11,7
Afghanistan,69.9204,33.3395,2,17,7
Afghanistan,71.1559,34.8764,-13,4,7
Albania,20.1475,40.0467,-5,34,7
Algeria,3.0,28.0,-5,919,7
Argentina,-57.5575,-38.0023,-6,5,7
Argentina,-62.9967,-40.8135,-8,24,7
Argentina,-64.1833,-31.4,0,1,7
Armenia,44.4059,40.5675,3,7,7
Armenia,44.8175,39.9125,-3,10,7
Armenia,45.0,40.0,-1,569,7
Armenia,45.367,40.9815,-5,2,7
Australia,115.54,-31.9903,-1,104,7
Australia,115.661,-30.6765,5,40,7
Australia,115.808,-31.9833,-2,34,7
Australia,115.817,-33.2569,0,700,7
Australia,115.833,-31.9333,-2,447,7
Australia,121.333,-30.4833,2,8,7
Australia,136.833,-31.1998,0,18,7
Australia,138.017,-33.1918,-2,24,7
Australia,138.6,-34.9333,-2,120,7
Australia,141.833,-37.6667,-3,4,7
Australia,142.25,-10.5,-8,16,7
Australia,142.467,-10.7167,-2,43,7
Australia,142.488,-38.3818,1,26,7
Australia,143.15,-37.0167,2,2,7
Australia,143.338,-37.9527,-1,95,7
Australia,143.863,-37.5627,-1,53,7
Australia,143.883,-18.7833,0,5,7
Australia,144.326,-38.3308,3,17,7
Australia,144.65,-38.3,0,192,7
Australia,144.967,-37.8167,-2,779,7
Australia,145.2,-37.9833,-1,16,7
Australia,145.35,-37.8333,-4,4,7
Australia,145.35,-41.9333,-3,7,7
Australia,145.399,-36.3805,-9,49,7
Australia,145.467,-36.35,-2,14,7
Australia,145.783,-41.2667,-12,10,7
Australia,146.033,-17.6333,-4,2,7
Australia,146.888,-36.1218,-6,8,7
Australia,146.94,-41.49,-6,184,7
Australia,147.135,-41.4388,0,5,7
Australia,147.298,-42.8088,2,8,7
Australia,147.45,-42.3333,-12,10,7
Australia,147.683,-42.8667,-1,12,7
Australia,149.217,-35.2833,-3,6792,7
Australia,150.506,-23.3803,-7,24,7
Australia,150.6,-34.9667,-4,10,7
Australia,150.744,-23.1268,-2,2,7
Australia,150.852,-34.6683,1,20,7
Australia,150.967,-33.8833,-2,72,7
Australia,150.986,-34.2261,0,40,7
Australia,151.017,-34.0667,2,12,7
Australia,151.033,-33.9167,-3,25,7
Australia,151.112,-29.774,-1,6,7
Australia,151.117,-33.8833,8,10,7
Australia,151.151,-34.085,0,8,7
Australia,151.166,-33.8761,-4,12,7
Australia,151.167,-33.8167,1,21,7
Australia,151.201,-33.8652,0,144,7
Australia,151.217,-33.8833,-2,15511,7
Australia,151.35,-23.9167,-6,36,7
Australia,151.738,-29.7348,0,70,7
Australia,151.954,-27.5606,-1,279,7
Australia,152.348,-24.8662,-1,8,7
Australia,152.75,-28.1833,-9,17,7
Australia,152.909,-31.4308,0,158,7
Australia,153.0,-26.5,3,20,7
Australia,153.09,-26.3943,2,10,7
Australia,153.268,-29.8616,2,140,7
Australia,153.5,-28.5524,-4,2,7
Austria,12.1667,47.5833,-2,20,7
Austria,13.0333,47.8,-6,573,7
Austria,13.9833,48.45,0,2,7
Azerbaijan,45.0799,41.2097,-5,2,7
Azerbaijan,47.5,40.5,-2,93,7
Azerbaijan,47.6186,39.7756,1,6,7
Bahamas,-75.1117,23.2167,-2,2,7
Bahamas,-75.815,22.3708,-5,6,7
Bahamas,-77.4,25.0333,-2,11,7
Bahamas,-78.7,26.5333,-1,32,7
Bahrain,50.4597,26.2097,-6,3,7
Bahrain,50.55,26.0,-3,543,7
Bangladesh,88.6405,24.3711,2,3,7
Bangladesh,88.9077,23.048,-1,19,7
Bangladesh,88.9488,26.3087,0,2,7
Bangladesh,89.3667,23.6,-4,3,7
Bangladesh,89.3667,23.8667,-2,284,7
Bangladesh,89.8,22.6667,-3,4,7
Bangladesh,90.4,23.7667,-6,20,7
Bangladesh,90.6,24.3833,2,7,7
Bangladesh,91.1253,22.4044,-5,671,7
Bangladesh,91.2189,23.8617,0,2,7
Bangladesh,91.4333,22.7667,-6,8,7
Bangladesh,91.4333,22.9167,-4,10,7
Bangladesh,91.8117,22.6067,1,2,7
Bangladesh,92.2262,22.1965,0,4,7
Bangladesh,92.3058,20.8624,-5,55,7
Belarus,27.5667,53.9,0,92,7
Belarus,27.95,54.3333,-6,2,7
Belarus,30.2049,55.1904,1,8,7
Belgium,2.91185,51.2234,-3,20,7
Belgium,4.33333,50.8333,-3,2455,7
Belgium,4.94619,50.9191,-5,14,7
Belgium,5.79353,50.6408,1,744,7
Belize,-88.7333,16.2167,-1,20,7
Belize,-88.7667,17.25,-4,8,7
Belize,-88.9667,17.1833,-2,10,7
Bhutan,90.5,27.5,0,456,7
Bosnia-Herzegovina,18.0,44.0,-1,155,7
Bosnia-Herzegovina,19.1438,43.6471,-3,1,7
Bosnia-Herzegovina,19.2967,44.1075,-5,28,7
Botswana,25.0132,-17.845,3,20,7
Botswana,25.9119,-24.6464,0,14,7
Botswana,26.0,-22.0,-8,46,7
Brazil,-34.9,-8.05,0,108,7
Brazil,-40.15,-19.85,-1,8,7
Brazil,-40.9333,-14.95,3,2,7
Brazil,-41.9167,-21.5667,-5,4,7
Brazil,-43.2333,-22.9,-4,85,7
Brazil,-46.5333,-23.4667,-1,2,7
Brazil,-50.1667,-22.1333,3,6,7
Brazil,-54.1,-23.7667,3,2,7
Brazil,-55.0,-10.0,-3,572,7
Bulgaria,23.2833,41.5667,3,58,7
Bulgaria,24.3333,42.2167,0,5,7
Bulgaria,24.75,42.15,2,2,7
Bulgaria,25.0,43.0,-3,676,7
Bulgaria,25.3667,41.5833,-4,3,7
Bulgaria,26.0833,41.8333,-7,22,7
BurkinaFaso,-1.52472,12.3703,-5,127,7
Burundi,29.36,-3.37611,-5,757,7
Burundi,30.0,-3.5,-5,536,7
Burundi,30.1335,-3.6696,-4,26,7
Burundi,30.1731,-2.8441,-4,2,7
Cambodia,103.198,13.1027,0,22,7
Cambodia,104.144,13.6234,-6,200,7
Cambodia,104.917,11.55,-2,4348,7
Cameroon,11.5167,3.86667,-2,62,7
Cameroon,12.0,6.0,-3,222,7
Cameroon,13.8586,10.577,-2,173,7
Cameroon,13.9135,11.1825,-7,5,7
Cameroon,14.0,4.0,-3,10,7
Cameroon,14.4333,5.75,-4,5,7
Canada,-100.817,50.6667,-1,20,7
Canada,-102.467,51.2167,-1,4,7
Canada,-103.867,50.5333,1,5,7
Canada,-105.55,50.4,-2,15,7
Canada,-105.783,54.05,-1,5,7
Canada,-110.683,50.0333,0,78,7
Canada,-111.2,51.5333,-5,10,7
Canada,-111.383,56.7333,3,6,7
Canada,-113.2,55.25,-5,2,7
Canada,-113.75,52.35,1,54,7
Canada,-113.95,49.4833,0,3,7
Canada,-114.083,51.0833,-2,833,7
Canada,-114.15,54.6833,-1,6,7
Canada,-116.183,51.4333,-2,12,7
Canada,-117.0,50.0,-2,5,7
Canada,-118.4,56.0667,0,51,7
Canada,-119.35,50.3667,0,27,7
Canada,-119.483,49.9,0,27,7
Canada,-119.583,49.5,0,11,7
Canada,-121.95,49.1667,5,4,7
Canada,-122.767,53.9167,-4,7,7
Canada,-122.783,49.2667,-2,292,7
Canada,-122.917,49.2167,-1,13,7
Canada,-123.15,49.7,1,2,7
Canada,-123.767,49.4667,0,8,7
Canada,-139.417,64.0667,1,2,7
Canada,-53.8,48.4333,-2,2,7
Canada,-57.9333,48.95,0,2,7
Canada,-58.5667,48.55,1,16,7
Canada,-59.9833,45.9167,3,8,7
Canada,-62.6333,45.5833,-4,6,7
Canada,-63.0333,45.4167,-2,4,7
Canada,-63.1167,46.25,-1,8,7
Canada,-64.3167,44.3667,1,7,7
Canada,-67.4833,46.4,0,5,7
Canada,-68.5667,70.45,5,10,7
Canada,-70.8667,46.3,-1,10,7
Canada,-71.2667,46.8667,2,6,7
Canada,-72.0,47.5,-1,1843,7
Canada,-72.9833,45.1167,-1,10,7
Canada,-73.6,45.4833,0,9,7
Canada,-75.6833,44.5833,0,2,7
Canada,-75.9167,45.25,2,10,7
Canada,-77.2833,45.9,-1,2,7
Canada,-79.05,43.1,0,56,7
Canada,-79.3667,43.7,-4,3,7
Canada,-79.4333,43.8667,9,12,7
Canada,-79.5667,43.7,0,3,7
Canada,-79.65,43.5333,0,3,7
Canada,-79.9333,46.3667,-4,8,7
Canada,-80.0833,43.9167,2,13,7
Canada,-86.0,50.0,0,4,7
Canada,-94.05,61.1167,3,5,7
Canada,-99.45,50.2333,0,17,7
CentralAfricanRepublic,18.5833,4.36667,-3,568,7
CentralAfricanRepublic,21.0,7.0,-3,77,7
Chad,15.0482,12.1085,-4,265,7
Chad,17.0983,11.3356,-7,10,7
Chad,19.0,15.0,-2,277,7
Chad,20.8167,13.8167,-5,6,7
Chile,-72.6586,-41.4523,-9,2,7
Chile,-73.1273,-41.768,-5,7,7
Chile,-74.1778,-42.9389,-4,84,7
China,100.033,23.9,-1,83,7
China,103.422,34.583,-2,29,7
China,105.083,33.7242,3,40,7
China,105.48,35.1221,-1,22,7
China,105.652,27.6136,0,4,7
China,108.693,34.5094,0,99,7
China,109.431,18.3449,0,12,7
China,111.631,25.2386,0,10,7
China,112.669,35.7142,-1,6,7
China,113.729,33.3913,-8,29,7
China,113.884,25.1404,-4,2,7
China,114.942,22.9614,-3,18,7
China,115.605,27.7057,-2,5,7
China,115.861,26.2781,1,6,7
China,116.388,39.9289,-2,2661,7
China,116.391,39.9072,-2,18,7
China,116.951,34.1845,-1,8,7
China,118.224,30.7962,-3,2,7
China,118.531,31.5976,-1,2,7
China,118.75,29.7389,-2,3,7
China,118.852,32.9793,-6,5,7
China,119.14,26.7181,0,7,7
China,119.306,26.0614,4,5,7
China,120.169,30.2553,0,10,7
China,120.372,36.0986,1,2,7
China,120.618,31.3114,-5,14,7
China,123.433,41.7922,-5,1,7
China,89.1667,42.9333,0,5,7
ChristmasIsland,105.667,-10.5,-4,93,7
Colombia,-72.0,4.0,-2,199,7
Colombia,-74.0833,4.6,-1,224,7
Colombia,-74.1567,10.0343,-4,10,7
Colombia,-75.5144,10.3997,-6,20,7
Colombia,-75.5663,6.27611,-2,1595,7
Congo,14.3664,-3.27944,-5,4,7
Congo,15.0,-1.0,-3,806,7
CostaRica,-83.9469,9.82031,-4,6,7
CotedIvoire,-5.0,8.0,-3,143,7
Croatia,16.9117,45.2717,-5,10,7
Croatia,17.3458,42.94,-3,432,7
Croatia,17.8,45.5667,0,9,7
Croatia,18.0156,45.1603,-3,5,7
Croatia,18.6036,45.77,-6,56,7
Croatia,19.1708,45.2606,-3,734,7
Cuba,-75.2092,20.1444,0,8,7
Cuba,-75.3833,20.2667,-2,26,7
Cuba,-76.1833,20.3167,0,16,7
Cuba,-77.5167,21.4167,0,26,7
Cuba,-78.7692,21.8719,-3,2,7
Cuba,-79.4167,22.0833,-3,4,7
Cuba,-79.5333,22.5,-5,4,7
Cuba,-81.1664,22.18,-2,44,7
Cuba,-81.9961,22.8453,-2,6,7
Cuba,-82.6167,22.8167,-5,6,7
Cuba,-83.4358,22.3958,0,14,7
Cuba,-83.6981,22.4175,-3,36,7
Cyprus,33.0,35.0,-3,557,7
Cyprus,33.2,35.1542,-4,10,7
Cyprus,33.3167,35.3417,-2,8,7
Cyprus,33.3875,34.825,-3,10,7
Cyprus,33.5125,35.1333,0,5,7
Cyprus,33.8917,35.175,-4,5,7
CzechRepublic,15.245,49.0821,-2,4,7
CzechRepublic,15.5,49.75,-4,685,7
CzechRepublic,17.0957,49.8394,-2,12,7
CzechRepublic,18.4513,49.6382,-5,20,7
Czechoslovakia,18.0873,48.309,-3,20,7
DemocraticRepublicoftheCongo,15.315,-4.32972,-3,8,7
DemocraticRepublicoftheCongo,25.0,0.0,-4,25,7
DemocraticRepublicoftheCongo,29.0181,-1.7075,-4,2,7
DemocraticRepublicoftheCongo,29.0333,-2.86667,-3,10,7
Denmark,10.0,56.0,-1,997,7
Denmark,11.3889,54.695,-8,8,7
Denmark,12.5784,55.5741,-5,5,7
DominicanRepublic,-69.5428,19.311,2,4,7
DominicanRepublic,-70.6667,19.0,-1,1050,7
DominicanRepublic,-70.6833,19.8,3,1,7
Ecuador,-77.5,-2.0,-4,12920,7
Ecuador,-77.9833,-1.46667,-2,3,7
Ecuador,-78.6167,-1.25,-1,10,7
Ecuador,-80.4667,-2.03333,0,6,7
Egypt,25.5275,29.1923,0,8,7
Egypt,29.9192,31.1981,0,123,7
Egypt,30.0,27.0,-2,2290,7
Egypt,30.2,30.6,-7,3,7
Egypt,30.7503,28.1099,-6,4,7
Egypt,31.0067,31.1453,1,8,7
Egypt,31.139,30.7279,-2,10,7
Egypt,31.2122,30.0086,-1,30,7
Egypt,31.2252,30.057,0,20,7
Egypt,31.2332,30.0445,-2,11,7
Egypt,31.2374,30.0391,-5,10,7
Egypt,31.2395,30.0525,-5,5,7
Egypt,32.5628,29.9314,0,6,7
Egypt,34.2369,31.2878,-6,3,7
Egypt,34.305,27.8518,-4,15,7
Egypt,34.8448,26.3149,-5,30,7
ElSalvador,-88.9167,13.8333,-3,157,7
ElSalvador,-89.7242,13.7189,-1,3,7
Eritrea,37.5447,15.4839,-3,28,7
Ethiopia,35.9833,4.51667,-1,20,7
Ethiopia,36.7167,10.15,-2,13,7
Ethiopia,39.0833,6.03333,-2,10,7
Ethiopia,39.15,10.3,-2,6,7
Ethiopia,39.1667,11.1667,0,2,7
Ethiopia,39.2667,8.55,-9,2,7
Ethiopia,39.3333,8.56667,-2,57,7
Ethiopia,41.0,9.2,3,10,7
Ethiopia,44.0,8.0,1,10,7
Fiji,177.467,-17.6167,2,3,7
Fiji,178.1,-19.15,-2,20,7
Fiji,178.417,-18.1333,2,65,7
Finland,22.15,60.45,-2,10,7
Finland,22.6,60.3167,-3,6,7
Finland,24.3333,60.4167,-1,4,7
Finland,24.4333,60.1167,-4,2,7
Finland,25.0333,60.4167,-1,6,7
Finland,25.7167,66.5,-2,16,7
Finland,28.3167,64.45,-2,5,7
Finland,28.4,65.35,-5,16,7
Finland,28.7667,61.1667,-4,5,7
France,0.067724,49.3568,0,8,7
France,0.23591,46.0653,4,6,7
France,0.333333,46.5833,0,1,7
France,1.5792,50.6333,1,2,7
France,1.91667,50.1667,-5,13,7
France,2.35607,48.8821,-3,75,7
